中文名,英文名,等级,总排名,等级内序号,海克斯名称
暗裔剑魔,Aatrox,黄金,1,1,吸血习性
暗裔剑魔,Aatrox,黄金,2,2,升级：狂妄
暗裔剑魔,Aatrox,白银,3,1,渴血
暗裔剑魔,Aatrox,黄金,4,3,裁决使
暗裔剑魔,Aatrox,白银,5,2,扇巴掌
暗裔剑魔,Aatrox,棱彩,6,1,最终形态
暗裔剑魔,Aatrox,黄金,7,4,古式佳酿
暗裔剑魔,Aatrox,黄金,8,5,质变：棱彩阶
暗裔剑魔,Aatrox,黄金,9,6,会心治疗
暗裔剑魔,Aatrox,黄金,10,7,夜狩
暗裔剑魔,Aatrox,棱彩,11,2,歌利亚巨人
暗裔剑魔,Aatrox,白银,12,3,残暴之力
暗裔剑魔,Aatrox,棱彩,13,3,珠光护手
暗裔剑魔,Aatrox,黄金,14,8,穿针引线
暗裔剑魔,Aatrox,白银,15,4,暗影疾奔
暗裔剑魔,Aatrox,黄金,16,9,罪恶快感
暗裔剑魔,Aatrox,黄金,17,10,吞噬灵魂
暗裔剑魔,Aatrox,棱彩,18,4,小丑学院
暗裔剑魔,Aatrox,黄金,19,11,狂徒豪气
暗裔剑魔,Aatrox,黄金,20,12,缩小引擎
暗裔剑魔,Aatrox,白银,21,5,快中求稳
暗裔剑魔,Aatrox,棱彩,22,5,巨人杀手
暗裔剑魔,Aatrox,白银,23,6,质变：黄金阶
暗裔剑魔,Aatrox,黄金,24,13,属性叠属性！
暗裔剑魔,Aatrox,白银,25,7,魔法转物理
暗裔剑魔,Aatrox,棱彩,26,6,质变：混沌
暗裔剑魔,Aatrox,黄金,27,14,弹球
暗裔剑魔,Aatrox,黄金,28,15,雪球扭蛋机
暗裔剑魔,Aatrox,棱彩,29,7,史上最大雪球
暗裔剑魔,Aatrox,白银,30,8,属性！
暗裔剑魔,Aatrox,黄金,31,16,捐赠
暗裔剑魔,Aatrox,黄金,32,17,红包
暗裔剑魔,Aatrox,白银,33,9,急救用具
暗裔剑魔,Aatrox,黄金,34,18,魔鬼之舞
暗裔剑魔,Aatrox,白银,35,10,负重爆气
暗裔剑魔,Aatrox,黄金,36,19,杀戮时间到了
暗裔剑魔,Aatrox,白银,37,11,速度恶魔
暗裔剑魔,Aatrox,棱彩,38,8,战争交响乐
暗裔剑魔,Aatrox,白银,39,12,升级：收集者
暗裔剑魔,Aatrox,黄金,40,20,坦克引擎
暗裔剑魔,Aatrox,黄金,41,21,循环往复
暗裔剑魔,Aatrox,黄金,42,22,心灵净化
暗裔剑魔,Aatrox,棱彩,43,9,全凭身法
暗裔剑魔,Aatrox,黄金,44,23,面包和黄油
暗裔剑魔,Aatrox,黄金,45,24,灵魂虹吸
暗裔剑魔,Aatrox,白银,46,13,炼狱龙魂
暗裔剑魔,Aatrox,黄金,47,25,升级：雪球
暗裔剑魔,Aatrox,白银,48,14,大力
暗裔剑魔,Aatrox,棱彩,49,10,利刃华尔兹
暗裔剑魔,Aatrox,白银,50,15,终极不可阻挡
暗裔剑魔,Aatrox,棱彩,51,11,扳机炼狱
暗裔剑魔,Aatrox,黄金,52,26,任务：钢化你心
暗裔剑魔,Aatrox,白银,53,16,杀意翻涌
暗裔剑魔,Aatrox,黄金,54,27,最终都市列车
暗裔剑魔,Aatrox,黄金,55,28,关键暴击
暗裔剑魔,Aatrox,棱彩,56,12,潘朵拉的盒子
暗裔剑魔,Aatrox,棱彩,57,13,尊我为王
暗裔剑魔,Aatrox,棱彩,58,14,无限循环往复
暗裔剑魔,Aatrox,白银,59,17,自我毁灭
暗裔剑魔,Aatrox,棱彩,60,15,飞身踢
暗裔剑魔,Aatrox,棱彩,61,16,终极唤醒
暗裔剑魔,Aatrox,白银,62,18,逃跑计划
暗裔剑魔,Aatrox,白银,63,19,俯冲轰炸
暗裔剑魔,Aatrox,黄金,64,29,黎明使者的坚决
暗裔剑魔,Aatrox,棱彩,65,17,属性叠属性叠属性！
暗裔剑魔,Aatrox,白银,66,20,恶趣味
暗裔剑魔,Aatrox,棱彩,67,18,踢踏舞
暗裔剑魔,Aatrox,黄金,68,30,作弊：我能回城！
暗裔剑魔,Aatrox,黄金,69,31,生机迸发
暗裔剑魔,Aatrox,棱彩,70,19,神圣雪球
暗裔剑魔,Aatrox,黄金,71,32,闪现向前
暗裔剑魔,Aatrox,白银,72,21,刃下生风
暗裔剑魔,Aatrox,棱彩,73,20,巨像的勇气
暗裔剑魔,Aatrox,白银,74,22,练腿日
暗裔剑魔,Aatrox,黄金,75,33,神圣干预
暗裔剑魔,Aatrox,黄金,76,34,坚韧
暗裔剑魔,Aatrox,黄金,77,35,星界躯体
暗裔剑魔,Aatrox,黄金,78,36,尖端发明家
暗裔剑魔,Aatrox,棱彩,79,21,秘术冲拳
暗裔剑魔,Aatrox,棱彩,80,22,蛋白粉奶昔
暗裔剑魔,Aatrox,黄金,81,37,升级：无尽之刃
暗裔剑魔,Aatrox,黄金,82,38,一板一眼
暗裔剑魔,Aatrox,黄金,83,39,虚幻武器
暗裔剑魔,Aatrox,棱彩,84,23,你摸不到
暗裔剑魔,Aatrox,黄金,85,40,面包和奶酪
暗裔剑魔,Aatrox,白银,86,23,会心防御
暗裔剑魔,Aatrox,黄金,87,41,更万用的瞄准镜
暗裔剑魔,Aatrox,黄金,88,42,易损
暗裔剑魔,Aatrox,棱彩,89,24,量子计算
暗裔剑魔,Aatrox,棱彩,90,25,魄罗之王的弹跳
暗裔剑魔,Aatrox,棱彩,91,26,舞会女王
暗裔剑魔,Aatrox,白银,92,24,重量级打击手
暗裔剑魔,Aatrox,黄金,93,43,有始有终
暗裔剑魔,Aatrox,黄金,94,44,无休回复
暗裔剑魔,Aatrox,黄金,95,45,魄罗爆破手
暗裔剑魔,Aatrox,棱彩,96,27,终极刷新
暗裔剑魔,Aatrox,棱彩,97,28,科学狂人
暗裔剑魔,Aatrox,黄金,98,46,圣火
暗裔剑魔,Aatrox,棱彩,99,29,大地苏醒
暗裔剑魔,Aatrox,黄金,100,47,双发快射
暗裔剑魔,Aatrox,白银,101,25,强力护盾
暗裔剑魔,Aatrox,白银,102,26,坚若磐石
暗裔剑魔,Aatrox,黄金,103,48,急急小子
暗裔剑魔,Aatrox,棱彩,104,30,全能龙魂
暗裔剑魔,Aatrox,白银,105,27,冰霜 幽灵
暗裔剑魔,Aatrox,棱彩,106,31,你肩上的恶魔
暗裔剑魔,Aatrox,棱彩,107,32,当心小蛋糕！
暗裔剑魔,Aatrox,黄金,108,49,回力OK镖
暗裔剑魔,Aatrox,白银,109,28,霸符兄弟
暗裔剑魔,Aatrox,棱彩,110,33,和我一起困在这里
暗裔剑魔,Aatrox,棱彩,111,34,任务：海牛阿福的勇士
暗裔剑魔,Aatrox,棱彩,112,35,？？？
暗裔剑魔,Aatrox,白银,113,29,万用瞄准镜
暗裔剑魔,Aatrox,棱彩,114,36,风语者的祝福
暗裔剑魔,Aatrox,白银,115,30,转得我眩晕了
暗裔剑魔,Aatrox,白银,116,31,海克斯科技龙魂
暗裔剑魔,Aatrox,棱彩,117,37,最万用的瞄准镜
暗裔剑魔,Aatrox,白银,118,32,家园卫士
暗裔剑魔,Aatrox,棱彩,119,38,感受燃烧
暗裔剑魔,Aatrox,黄金,120,50,不动如山
暗裔剑魔,Aatrox,白银,121,33,防护面纱
暗裔剑魔,Aatrox,白银,122,34,灵巧
暗裔剑魔,Aatrox,棱彩,123,39,玻璃大炮
暗裔剑魔,Aatrox,白银,124,35,由暴生急
暗裔剑魔,Aatrox,棱彩,125,40,夺金
暗裔剑魔,Aatrox,棱彩,126,41,回归基本功
暗裔剑魔,Aatrox,黄金,127,51,魔法飞弹
